PANTONENAME,UNIQUECODE,R,G,B
2452 C,11004,195,57,113
2453 C,11005,185,152,198
2454 C,11006,35,126,163
2455 C,11007,146,191,181
2456 C,11008,42,156,138
2457 C,11009,139,170,153
2458 C,11010,103,152,131
2459 C,11011,84,174,147
246 C,11012,198,39,179
2460 C,11013,105,176,171
2461 C,11014,36,150,147
2462 C,11015,89,142,133
2463 C,11016,90,117,113
2464 C,11017,119,190,112
2465 C,11018,30,111,49
2466 C,11019,38,80,77
2467 C,11020,181,145,108
2468 C,11021,151,106,76
2469 C,11022,142,87,59
247 C,11023,185,27,164
2470 C,11024,153,127,97
2471 C,11025,164,136,120
2472 C,11026,96,66,44
2473 C,11027,194,185,189
2474 C,11028,174,160,152
2475 C,11029,161,136,130
2476 C,11030,129,109,108
2477 C,11031,112,88,87
2478 C,11032,74,54,60
2479 C,11033,63,53,48
248 C,11034,163,28,146
249 C,11035,130,42,110
250 C,11036,232,187,230
251 C,11037,219,155,223
252 C,11038,201,100,207
253 C,11039,171,31,172
254 C,11040,150,30,150
255 C,11041,113,36,108
256 C,11042,212,191,223
2562 C,11043,213,170,229
2563 C,11044,201,164,215
2567 C,11045,194,162,220
257 C,11046,198,162,209
2572 C,11047,197,139,219
2573 C,11048,185,134,207
2577 C,11049,169,124,204
258 C,11050,140,72,155
2582 C,11051,170,81,201
2583 C,11052,159,94,180
2587 C,11053,128,70,175
259 C,11054,108,31,120
2592 C,11055,152,39,181
2593 C,11056,132,51,156
2597 C,11057,91,9,139
260 C,11058,100,39,103
2602 C,11059,132,27,158
2603 C,11060,112,36,131
2607 C,11061,77,7,121
261 C,11062,92,42,96
2612 C,11063,117,37,131
2613 C,11064,102,32,119
2617 C,11065,67,10,102
262 C,11066,79,41,79
2622 C,11067,99,50,102
2623 C,11068,94,33,104
2627 C,11069,59,17,84
263 C,11070,213,198,232
2635 C,11071,195,181,226
264 C,11072,191,166,226
2645 C,11073,170,151,220
265 C,11074,143,101,206
2655 C,11075,149,119,212
266 C,11076,114,60,189
2665 C,11077,124,86,198
267 C,11078,94,37,158
268 C,11079,86,46,134
2685 C,11080,48,2,115
269 C,11081,80,47,111
2695 C,11082,44,26,73
270 C,11083,177,179,222
2705 C,11084,166,167,228
2706 C,11085,204,213,235
2707 C,11086,193,215,238
2708 C,11087,181,204,235
271 C,11088,149,151,212
2715 C,11089,136,131,215
2716 C,11090,158,173,227
2717 C,11091,167,199,240
2718 C,11092,89,135,218
272 C,11093,114,115,194
2725 C,11094,100,91,199
2726 C,11095,67,93,200
2727 C,11096,47,129,227
2728 C,11097,0,72,186
273 C,11098,36,19,95
2735 C,11099,43,0,139
2736 C,11100,27,37,173
2738 C,11101,0,5,141
274 C,11102,32,22,82
2745 C,11103,37,0,112
2746 C,11104,23,29,143
2747 C,11105,0,26,114
2748 C,11106,0,26,116
275 C,11107,32,24,74
2755 C,11108,34,13,99
2756 C,11109,17,32,110
2757 C,11110,0,31,99
2758 C,11111,0,31,99
276 C,11112,33,28,54
2765 C,11113,30,22,71
2766 C,11114,16,28,78
2767 C,11115,15,41,76
2768 C,11116,8,30,75
277 C,11117,168,203,233
278 C,11118,137,185,234
279 C,11119,61,145,224
280 C,11120,0,33,105
281 C,11121,0,33,93
282 C,11122,2,30,67
283 C,11123,145,194,235
284 C,11124,107,173,229
285 C,11125,0,115,207
286 C,11126,0,50,161
287 C,11127,0,48,135
288 C,11128,0,46,116
289 C,11129,10,35,64
290 C,11130,182,218,238
2905 C,11131,138,199,232
291 C,11132,154,203,234
2915 C,11133,97,181,230
292 C,11134,103,180,234
2925 C,11135,0,156,222
293 C,11136,5,62,167
2935 C,11137,0,87,182
294 C,11138,0,48,109
2945 C,11139,0,77,150
295 C,11140,0,41,86
2955 C,11141,0,55,100
296 C,11142,3,28,45
2965 C,11143,0,37,61
297 C,11144,110,197,232
2975 C,11145,151,214,235
298 C,11146,62,182,231
2985 C,11147,89,196,232
299 C,11148,0,162,224
2995 C,11149,0,169,224
300 C,11150,0,93,183
3005 C,11151,0,120,201
301 C,11152,0,76,136
3015 C,11153,0,98,155
302 C,11154,0,59,92
3025 C,11155,0,79,115
303 C,11156,0,42,57
3035 C,11157,0,63,84
304 C,11158,152,218,232
305 C,11159,87,203,234
306 C,11160,0,182,226
307 C,11161,0,108,168
308 C,11162,0,87,124
309 C,11163,0,59,73
310 C,11164,99,209,227
3105 C,11165,99,209,223
311 C,11166,0,195,223
3115 C,11167,0,193,213
312 C,11168,0,168,205
3125 C,11169,0,172,199
313 C,11170,1,147,189
3135 C,11171,0,143,170
314 C,11172,0,127,165
3145 C,11173,0,121,140
315 C,11174,0,104,128
3155 C,11175,0,100,115
316 C,11176,0,72,82
3165 C,11177,0,80,89
317 C,11178,176,228,229
318 C,11179,133,219,223
319 C,11180,42,205,213
320 C,11181,0,156,168
321 C,11182,0,142,151
322 C,11183,0,117,121
323 C,11184,0,95,98
324 C,11185,154,219,215
3242 C,11186,109,219,215
3245 C,11187,122,225,211
3248 C,11188,107,205,184
325 C,11189,100,204,203
3252 C,11190,32,210,202
3255 C,11191,37,213,198
3258 C,11192,71,196,179
326 C,11193,0,178,171
3262 C,11194,0,193,180
3265 C,11195,0,199,178
3268 C,11196,0,170,143
327 C,11197,0,135,119
3272 C,11198,0,163,154
3275 C,11199,0,179,154
3278 C,11200,0,156,119
328 C,11201,0,115,104
3282 C,11202,0,135,121
3285 C,11203,0,149,128
3288 C,11204,0,130,101
329 C,11205,0,104,96
3292 C,11206,0,91,82
3295 C,11207,0,119,99
3298 C,11208,0,108,83
330 C,11209,0,83,75
3302 C,11210,0,76,70
3305 C,11211,0,78,66
3308 C,11212,0,71,58
331 C,11213,164,231,219
332 C,11214,138,226,208
333 C,11215,57,219,194
334 C,11216,0,153,119
335 C,11217,0,122,95
336 C,11218,0,103,80
337 C,11219,140,213,188
3375 C,11220,121,226,192
338 C,11221,108,205,178
3385 C,11222,69,216,174
339 C,11223,0,180,138
3395 C,11224,0,195,136
340 C,11225,0,151,96
3405 C,11226,0,175,103
341 C,11227,0,123,85
3415 C,11228,0,120,74
342 C,11229,0,103,72
3425 C,11230,0,98,66
343 C,11231,17,89,65
3435 C,11232,17,70,52
344 C,11233,160,220,181
345 C,11234,145,213,173
346 C,11235,112,203,153
347 C,11236,0,155,70
348 C,11237,0,132,61
349 C,11238,0,106,57
350 C,11239,43,84,52
3500 C,11240,0,109,50
3501 C,11241,73,173,10
3506 C,11242,16,97,173
3507 C,11243,175,208,11
3508 C,11244,91,120,48
351 C,11245,162,230,187
3514 C,11246,246,184,5
3515 C,11247,95,1,124
3516 C,11248,219,54,19
3517 C,11249,192,5,24
3519 C,11250,225,166,174
352 C,11251,142,227,177
3520 C,11252,176,122,195
3522 C,11253,0,138,51
3523 C,11254,113,46,52
3524 C,11255,47,41,83
3526 C,11256,123,149,158
3527 C,11257,209,65,157
3529 C,11258,25,167,37
353 C,11259,125,224,166
3533 C,11260,102,218,199
3534 C,11261,0,178,161
3535 C,11262,61,3,133
3536 C,11263,0,118,51
3537 C,11264,0,72,30
3538 C,11265,0,150,214
3539 C,11266,60,156,46
354 C,11267,0,179,68
3541 C,11268,0,147,158
3542 C,11269,47,18,124
3543 C,11270,162,143,210
3544 C,11271,223,184,169
3545 C,11272,0,188,226
3546 C,11273,205,9,29
3547 C,11274,197,145,24
355 C,11275,0,152,59
3551 C,11276,0,165,199
3553 C,11277,0,110,181
3555 C,11278,81,33,123
3556 C,11279,236,59,51
3557 C,11280,0,125,129
3558 C,11281,143,156,211
3559 C,11282,142,82,169
356 C,11283,0,124,54
3560 C,11284,0,163,152
3561 C,11285,119,196,11
3564 C,11286,237,106,4
3566 C,11287,70,43,115
3568 C,11288,240,202,220
357 C,11289,32,88,52
3570 C,11290,178,215,6
3572 C,11291,253,157,163
3574 C,11292,90,70,128
3575 C,11293,147,114,195
3577 C,11294,139,185,223
358 C,11295,172,220,146
3581 C,11296,31,50,110
3582 C,11297,209,116,168
3583 C,11298,79,31,131
3584 C,11299,44,63,128
3588 C,11300,255,148,41
359 C,11301,160,216,133
3590 C,11302,59,88,161
3591 C,11303,0,37,125
3593 C,11304,153,110,182
3595 C,11305,239,190,214
3596 C,11306,221,187,141
3597 C,11307,26,55,118
3599 C,11308,215,193,134
360 C,11309,109,193,74
361 C,11310,65,177,43
362 C,11311,82,159,50
363 C,11312,74,142,44
364 C,11313,72,118,41
365 C,11314,193,226,139
366 C,11315,181,222,123
367 C,11316,163,213,95
368 C,11317,119,189,35
369 C,11318,100,166,16
370 C,11319,98,141,29
371 C,11320,82,98,34
372 C,11321,210,236,143
373 C,11322,205,234,130
374 C,11323,196,230,109
375 C,11324,148,214,1
376 C,11325,133,190,7
377 C,11326,120,153,4
378 C,11327,88,99,30
379 C,11328,224,230,105
380 C,11329,219,228,68
381 C,11330,205,222,17
382 C,11331,194,214,10
383 C,11332,165,172,7
384 C,11333,147,146,5
385 C,11334,119,113,35
386 C,11335,232,235,108
387 C,11336,227,234,56
388 C,11337,223,232,40
389 C,11338,208,225,15
390 C,11339,181,189,7
391 C,11340,156,150,11
392 C,11341,130,123,7
393 C,11342,240,236,118
3935 C,11343,243,236,97
394 C,11344,237,235,60
3945 C,11345,241,230,7
395 C,11346,233,232,30
3955 C,11347,238,223,13
396 C,11348,223,224,8
3965 C,11349,237,220,15
397 C,11350,191,186,11
3975 C,11351,185,166,6
398 C,11352,172,163,6
3985 C,11353,154,136,4
399 C,11354,159,145,7
3995 C,11355,103,91,33
400 C,11356,196,193,184
4001 C,11357,234,221,159
4002 C,11358,221,199,131
4003 C,11359,211,201,154
4004 C,11360,201,183,121
4005 C,11361,192,175,125
4006 C,11362,185,163,113
4007 C,11363,172,150,95
4008 C,11364,243,177,38
4009 C,11365,238,157,74
401 C,11366,174,171,162
4010 C,11367,230,107,18
4011 C,11368,224,120,79
4012 C,11369,232,114,62
4013 C,11370,202,108,41
4014 C,11371,183,105,73
4015 C,11372,210,200,101
4016 C,11373,213,193,61
4017 C,11374,223,185,65
4018 C,11375,208,179,73
4019 C,11376,193,169,78
402 C,11377,157,152,144
4020 C,11378,190,160,11
4021 C,11379,174,147,54
4022 C,11380,207,181,127
4023 C,11381,210,181,106
4024 C,11382,209,173,103
4025 C,11383,212,161,73
4026 C,11384,188,140,62
4027 C,11385,142,100,33
4028 C,11386,127,95,42
4029 C,11387,231,205,164
403 C,11388,139,133,124
4030 C,11389,240,202,174
4031 C,11390,233,203,187
4032 C,11391,244,203,192
4033 C,11392,245,187,170
4034 C,11393,200,149,116
4035 C,11394,197,150,116
4036 C,11395,191,154,151
4037 C,11396,179,125,120
4038 C,11397,177,115,105
4039 C,11398,173,105,96
404 C,11399,118,110,100
4040 C,11400,151,108,103
4041 C,11401,126,93,87
4042 C,11402,119,93,83
4043 C,11403,222,196,173
4044 C,11404,195,161,138
4045 C,11405,184,150,131
4046 C,11406,175,150,129
4047 C,11407,171,141,118
4048 C,11408,162,130,106
4049 C,11409,149,131,112
405 C,11410,104,98,89
4050 C,11411,216,172,150
4051 C,11412,222,137,121
4052 C,11413,216,136,120
4053 C,11414,206,125,107
4054 C,11415,168,84,62
4055 C,11416,165,85,71
4056 C,11417,132,80,71
4057 C,11418,225,103,93
4058 C,11419,228,76,86
4059 C,11420,194,49,66
406 C,11421,196,189,185
4060 C,11422,189,56,67
4061 C,11423,188,100,96
4062 C,11424,166,69,70
4063 C,11425,154,66,53
4064 C,11426,233,179,186
4065 C,11427,226,174,177
4066 C,11428,232,160,155
4067 C,11429,231,160,159
4068 C,11430,229,145,148
4069 C,11431,199,81,97
407 C,11432,176,166,161
4070 C,11433,179,60,81
4071 C,11434,206,138,159
4072 C,11435,223,124,155
4073 C,11436,199,72,115
4074 C,11437,125,28,75
4075 C,11438,129,54,81
4076 C,11439,129,67,90
4077 C,11440,130,71,86
4078 C,11441,229,194,214
4079 C,11442,205,169,196
408 C,11443,150,140,135
4080 C,11444,206,175,204
4081 C,11445,174,143,169
4082 C,11446,165,101,143
4083 C,11447,134,91,147
4084 C,11448,110,61,97
4085 C,11449,199,185,175
4086 C,11450,187,166,168
4087 C,11451,181,158,151
4088 C,11452,166,138,129
4089 C,11453,161,140,136
409 C,11454,133,122,117
4090 C,11455,143,115,105
4091 C,11456,122,95,94
4092 C,11457,201,168,181
4093 C,11458,174,145,149
4094 C,11459,145,105,119
4095 C,11460,136,91,107
4096 C,11461,119,74,78
4097 C,11462,114,77,81
4098 C,11463,101,70,62
4099 C,11464,170,132,132
410 C,11465,117,103,100
4100 C,11466,125,79,80
4101 C,11467,98,36,41
4102 C,11468,85,29,37
4103 C,11469,80,36,47
4104 C,11470,83,60,62
4105 C,11471,101,63,52
4106 C,11472,196,170,179
4107 C,11473,170,145,164
4108 C,11474,163,134,151
4109 C,11475,158,121,139
411 C,11476,93,82,77
4110 C,11477,139,111,130
4111 C,11478,125,88,108
4112 C,11479,138,109,115
4113 C,11480,162,142,146
4114 C,11481,155,141,147
4115 C,11482,146,127,130
4116 C,11483,152,132,132
4117 C,11484,113,100,117
4118 C,11485,68,58,78
4119 C,11486,62,57,68
412 C,11487,56,49,48
4120 C,11488,183,171,210
4121 C,11489,154,141,183
4122 C,11490,119,108,178
4123 C,11491,165,168,188
4124 C,11492,143,146,177
4125 C,11493,93,92,119
4126 C,11494,79,64,100
4127 C,11495,125,128,150
4128 C,11496,108,114,132
4129 C,11497,103,112,128
413 C,11498,184,189,180
4130 C,11499,81,90,109
4131 C,11500,70,75,92
4132 C,11501,58,58,74
4133 C,11502,58,59,71
4134 C,11503,160,163,176
4135 C,11504,120,133,156
4136 C,11505,97,111,129
4137 C,11506,71,95,119
4138 C,11507,75,97,115
4139 C,11508,77,91,109
414 C,11509,166,170,159
4140 C,11510,54,60,71
4141 C,11511,70,99,162
4142 C,11512,60,79,129
4143 C,11513,65,84,111
4144 C,11514,57,59,92
4145 C,11515,47,51,79
4146 C,11516,26,30,55
4147 C,11517,38,34,66
4148 C,11518,96,150,177
4149 C,11519,137,170,198
415 C,11520,145,149,136
4150 C,11521,79,125,185
4151 C,11522,0,104,175
4152 C,11523,11,82,149
4153 C,11524,22,77,137
4154 C,11525,11,66,118
4155 C,11526,186,201,206
4156 C,11527,151,192,204
4157 C,11528,100,174,195
4158 C,11529,52,126,150
4159 C,11530,0,86,131
416 C,11531,125,128,116
4160 C,11532,1,73,96
4161 C,11533,46,75,89
4162 C,11534,167,211,197
4163 C,11535,142,202,185
4164 C,11536,21,128,116
4165 C,11537,27,106,97
4166 C,11538,63,119,115
4167 C,11539,47,101,94
4168 C,11540,33,70,69
4169 C,11541,180,200,193
417 C,11542,99,103,93
4170 C,11543,163,190,188
4171 C,11544,155,185,184
4172 C,11545,129,178,171
4173 C,11546,130,197,193
4174 C,11547,130,194,194
4175 C,11548,145,187,195
4176 C,11549,197,207,194
4177 C,11550,184,189,174
4178 C,11551,166,174,153
4179 C,11552,149,166,129
418 C,11553,82,83,74
4180 C,11554,142,154,128
4181 C,11555,114,135,113
4182 C,11556,105,121,102
4183 C,11557,183,193,182
4184 C,11558,153,170,158
4185 C,11559,135,164,155
4186 C,11560,103,142,137
4187 C,11561,101,124,122
4188 C,11562,64,92,91
4189 C,11563,26,75,83
419 C,11564,31,34,33
4190 C,11565,167,180,165
4191 C,11566,146,165,156
4192 C,11567,131,149,135
4193 C,11568,96,104,91
4194 C,11569,85,100,98
4195 C,11570,99,102,103
4196 C,11571,68,85,90
4197 C,11572,138,157,145
4198 C,11573,105,126,114
4199 C,11574,88,106,95
420 C,11575,198,202,199
4200 C,11576,89,108,99
4201 C,11577,79,105,94
4202 C,11578,56,78,71
4203 C,11579,43,72,64
4204 C,11580,191,210,169
4205 C,11581,166,193,135
4206 C,11582,142,175,130
4207 C,11583,123,162,121
4208 C,11584,59,112,84
4209 C,11585,56,89,77
421 C,11586,176,180,177
4210 C,11587,47,80,68
4211 C,11588,207,218,150
4212 C,11589,134,172,65
4213 C,11590,104,143,53
4214 C,11591,91,122,86
4215 C,11592,81,112,64
4216 C,11593,60,87,36
4217 C,11594,73,94,35
4218 C,11595,174,182,159
4219 C,11596,164,171,152
422 C,11597,155,162,164
4220 C,11598,135,139,121
4221 C,11599,123,126,98
4222 C,11600,115,118,99
4223 C,11601,97,104,83
4224 C,11602,62,74,56
4225 C,11603,139,131,113
4226 C,11604,132,130,103
4227 C,11605,105,105,82
4228 C,11606,88,85,62
4229 C,11607,92,93,75
423 C,11608,134,141,143
4230 C,11609,89,84,77
4231 C,11610,99,94,80
4232 C,11611,209,206,9
4233 C,11612,191,190,8
4234 C,11613,186,193,92
4235 C,11614,175,177,126
4236 C,11615,192,191,109
4237 C,11616,171,165,99
4238 C,11617,140,139,83
4239 C,11618,199,196,179
424 C,11619,112,114,114
4240 C,11620,200,189,164
4241 C,11621,186,172,137
4242 C,11622,135,120,80
4243 C,11623,131,107,80
4244 C,11624,125,106,81
4245 C,11625,91,81,65
4246 C,11626,202,196,169
4247 C,11627,209,193,170
4248 C,11628,213,196,169
4249 C,11629,194,173,140
425 C,11630,81,89,89
4250 C,11631,186,169,137
4251 C,11632,183,163,122
4252 C,11633,182,163,133
4253 C,11634,185,165,141
4254 C,11635,189,153,114
4255 C,11636,172,152,120
4256 C,11637,170,145,115
4257 C,11638,146,125,110
4258 C,11639,109,93,89
4259 C,11640,47,41,35
426 C,11641,37,40,43
4260 C,11642,205,169,146
4261 C,11643,158,111,71
4262 C,11644,167,114,79
4263 C,11645,172,111,76
4264 C,11646,172,115,85
4265 C,11647,154,100,74
4266 C,11648,155,96,60
4267 C,11649,192,176,163
4268 C,11650,178,160,142
4269 C,11651,169,146,120
427 C,11652,206,210,213
4270 C,11653,149,135,113
4271 C,11654,142,123,108
4272 C,11655,127,107,97
4273 C,11656,79,71,70
4274 C,11657,176,183,187
4275 C,11658,171,175,172
4276 C,11659,156,158,161
4277 C,11660,141,138,145
4278 C,11661,126,126,132
4279 C,11662,90,83,88
428 C,11663,192,200,204
4280 C,11664,36,42,55
4281 C,11665,176,176,176
4282 C,11666,173,170,171
4283 C,11667,167,162,163
4284 C,11668,113,107,117
4285 C,11669,104,97,106
4286 C,11670,93,84,94
4287 C,11671,69,65,66
4288 C,11672,182,190,182
4289 C,11673,152,152,152
429 C,11674,161,170,174
4290 C,11675,143,138,139
4291 C,11676,115,110,110
4292 C,11677,114,110,113
4293 C,11678,99,92,101
4294 C,11679,84,81,86
430 C,11680,125,136,144
431 C,11681,90,104,113
432 C,11682,49,64,74
433 C,11683,27,37,47
434 C,11684,206,196,198
435 C,11685,191,179,182
436 C,11686,170,153,158
437 C,11687,123,101,107
438 C,11688,88,68,70
439 C,11689,68,53,54
440 C,11690,56,46,46
441 C,11691,188,198,195
442 C,11692,163,173,173
443 C,11693,146,157,158
444 C,11694,110,124,126
445 C,11695,78,86,89
446 C,11696,61,68,66
447 C,11697,54,58,55
448 C,11698,74,65,43
4485 C,11699,95,77,38
449 C,11700,81,69,41
4495 C,11701,138,120,50
450 C,11702,90,76,37
4505 C,11703,151,132,68
451 C,11704,155,148,97
4515 C,11705,179,165,107
452 C,11706,175,169,126
4525 C,11707,199,184,133
453 C,11708,187,186,151
4535 C,11709,205,196,149
454 C,11710,201,200,170
4545 C,11711,213,204,160
455 C,11712,104,91,37
456 C,11713,159,141,43
457 C,11714,184,158,31
458 C,11715,217,198,89
459 C,11716,220,205,100
460 C,11717,228,217,128
461 C,11718,230,222,151
462 C,11719,94,70,46
4625 C,11720,79,43,28
463 C,11721,114,79,40
4635 C,11722,149,96,56
464 C,11723,138,90,43
4645 C,11724,170,123,91
465 C,11725,185,152,93
4655 C,11726,190,149,119
466 C,11727,197,170,119
4665 C,11728,203,166,136
467 C,11729,209,187,140
4675 C,11730,218,190,168
468 C,11731,218,202,163
4685 C,11732,224,199,174
469 C,11733,103,63,34
4695 C,11734,89,51,41
470 C,11735,165,91,44
4705 C,11736,124,77,60
471 C,11737,181,98,39
4715 C,11738,149,106,87
472 C,11739,227,157,109
4725 C,11740,175,139,121
473 C,11741,239,191,155
4735 C,11742,191,162,147
474 C,11743,239,198,168
4745 C,11744,201,180,167
475 C,11745,242,209,180
4755 C,11746,213,195,182
476 C,11747,78,53,42
477 C,11748,95,59,43
478 C,11749,112,65,42
479 C,11750,169,127,101
480 C,11751,194,169,147
481 C,11752,211,189,171
482 C,11753,220,200,184
483 C,11754,100,48,38
484 C,11755,153,50,37
485 C,11756,216,40,27
486 C,11757,230,146,123
487 C,11758,235,168,151
488 C,11759,235,187,171
489 C,11760,233,196,178
490 C,11761,91,42,43
491 C,11762,126,49,54
492 C,11763,142,50,55
493 C,11764,221,134,155
494 C,11765,232,163,178
495 C,11766,241,191,203
496 C,11767,240,199,206
497 C,11768,81,48,46
4975 C,11769,63,33,35
498 C,11770,104,57,53
4985 C,11771,136,77,83
499 C,11772,121,62,58
4995 C,11773,154,98,107
500 C,11774,198,135,147
5005 C,11775,175,126,132
501 C,11776,218,165,175
5015 C,11777,204,163,169
502 C,11778,230,187,195
5025 C,11779,220,184,188
503 C,11780,233,198,200
5035 C,11781,222,195,196
504 C,11782,88,43,52
505 C,11783,111,46,65
506 C,11784,130,53,80
507 C,11785,212,147,172
508 C,11786,226,169,188
509 C,11787,230,179,196
510 C,11788,233,189,204
511 C,11789,98,45,81
5115 C,11790,78,43,69
512 C,11791,131,50,122
5125 C,11792,103,61,95
513 C,11793,147,52,144
5135 C,11794,124,84,115
514 C,11795,211,139,200
5145 C,11796,154,118,147
515 C,11797,227,174,217
5155 C,11798,189,164,182
516 C,11799,229,189,222
5165 C,11800,210,194,208
517 C,11801,234,199,225
5175 C,11802,215,200,210
518 C,11803,75,48,74
5185 C,11804,73,50,66
519 C,11805,88,49,95
5195 C,11806,101,67,91
520 C,11807,99,48,109
5205 C,11808,132,99,123
521 C,11809,164,126,178
5215 C,11810,171,149,166
522 C,11811,185,156,199
5225 C,11812,196,176,190
523 C,11813,199,178,209
5235 C,11814,208,191,200
524 C,11815,214,195,218
5245 C,11816,217,203,211
525 C,11817,86,46,97
5255 C,11818,29,27,53
526 C,11819,111,47,138
5265 C,11820,63,57,95
527 C,11821,128,51,168
5275 C,11822,87,84,119
528 C,11823,179,127,210
5285 C,11824,140,137,166
529 C,11825,200,163,223
5295 C,11826,178,178,197
530 C,11827,214,186,230
5305 C,11828,197,197,211
531 C,11829,224,199,230
5315 C,11830,214,215,223
532 C,11831,27,32,42
533 C,11832,31,42,68
534 C,11833,24,54,93
535 C,11834,141,160,188
536 C,11835,162,178,202
537 C,11836,186,201,215
538 C,11837,196,209,220
539 C,11838,0,39,61
5395 C,11839,7,30,44
540 C,11840,0,49,87
5405 C,11841,79,117,140
541 C,11842,0,60,112
5415 C,11843,89,127,150
542 C,11844,122,176,213
5425 C,11845,120,152,172
543 C,11846,162,202,229
5435 C,11847,167,188,203
544 C,11848,188,214,232
5445 C,11849,180,202,213
545 C,11850,196,219,232
5455 C,11851,191,207,217
546 C,11852,5,42,50
5463 C,11853,6,40,45
5467 C,11854,23,51,47
547 C,11855,0,50,61
5473 C,11856,8,95,102
5477 C,11857,62,93,88
548 C,11858,0,61,78
5483 C,11859,75,133,142
5487 C,11860,94,122,119
549 C,11861,105,164,185
5493 C,11862,126,168,172
5497 C,11863,128,152,150
550 C,11864,140,184,201
5503 C,11865,149,183,189
5507 C,11866,155,176,173
551 C,11867,162,200,211
5513 C,11868,169,199,202
5517 C,11869,178,194,190
552 C,11870,184,212,221
5523 C,11871,183,209,209
5527 C,11872,186,202,198
553 C,11873,39,70,51
5535 C,11874,24,49,41
554 C,11875,27,93,67
5545 C,11876,65,105,93
555 C,11877,37,115,82
5555 C,11878,92,126,113
556 C,11879,108,161,135
5565 C,11880,123,157,146
557 C,11881,132,175,156
5575 C,11882,145,172,162
558 C,11883,153,191,172
5585 C,11884,167,190,179
559 C,11885,170,200,183
5595 C,11886,190,205,193
560 C,11887,29,61,53
5605 C,11888,34,55,44
561 C,11889,0,89,78
5615 C,11890,93,117,99
562 C,11891,0,113,100
5625 C,11892,110,132,114
563 C,11893,108,188,176
5635 C,11894,146,165,151
564 C,11895,131,201,188
5645 C,11896,161,178,164
565 C,11897,160,212,202
5655 C,11898,177,191,178
566 C,11899,183,220,212
5665 C,11900,184,196,183
567 C,11901,21,64,53
568 C,11902,0,107,93
569 C,11903,0,130,111
570 C,11904,105,202,185
571 C,11905,153,220,208
572 C,11906,163,225,213
573 C,11907,179,228,217
574 C,11908,77,92,48
5743 C,11909,62,72,40
5747 C,11910,62,69,31
575 C,11911,102,130,58
5753 C,11912,91,104,58
5757 C,11913,111,115,47
576 C,11914,121,158,76
5763 C,11915,115,123,77
5767 C,11916,138,144,76
577 C,11917,167,197,130
5773 C,11918,134,143,102
5777 C,11919,159,164,105
578 C,11920,183,206,152
5783 C,11921,161,170,133
5787 C,11922,183,188,140
579 C,11923,187,208,157
5793 C,11924,178,185,150
5797 C,11925,197,202,159
5803 C,11926,193,199,167
5807 C,11927,206,210,172
581 C,11928,98,93,33
5815 C,11929,84,81,35
582 C,11930,142,140,22
5825 C,11931,133,128,60
583 C,11932,183,192,21
5835 C,11933,161,154,89
584 C,11934,210,216,89
5845 C,11935,175,170,111
585 C,11936,220,223,115
5855 C,11937,190,187,134
586 C,11938,222,226,122
5865 C,11939,203,200,151
587 C,11940,226,228,141
5875 C,11941,208,206,158
600 C,11942,239,235,158
6001 C,11943,230,211,135
6002 C,11944,233,203,118
6003 C,11945,223,185,80
6004 C,11946,222,174,55
6005 C,11947,220,167,33
6006 C,11948,206,153,31
6007 C,11949,184,122,43
6008 C,11950,188,157,124
6009 C,11951,174,141,101
601 C,11952,236,232,145
6010 C,11953,162,127,86
6011 C,11954,156,119,73
6012 C,11955,134,96,50
6013 C,11956,120,80,40
6014 C,11957,103,81,46
6015 C,11958,238,180,138
6016 C,11959,245,157,99
6017 C,11960,249,146,75
6018 C,11961,245,131,52
6019 C,11962,236,107,15
602 C,11963,238,233,124
6020 C,11964,225,89,5
6021 C,11965,216,91,27
6022 C,11966,241,192,182
6023 C,11967,235,180,162
6024 C,11968,227,151,133
6025 C,11969,218,131,109
6026 C,11970,212,117,92
6027 C,11971,194,98,63
6028 C,11972,183,92,63
6029 C,11973,209,177,178
603 C,11974,235,223,78
6030 C,11975,197,159,155
6031 C,11976,183,143,135
6032 C,11977,176,131,122
6033 C,11978,168,120,107
6034 C,11979,160,108,92
6035 C,11980,148,95,78
6036 C,11981,188,143,154
6037 C,11982,172,120,128
6038 C,11983,160,102,112
6039 C,11984,148,86,94
604 C,11985,233,217,40
6040 C,11986,134,70,73
6041 C,11987,123,60,62
6042 C,11988,97,45,48
6043 C,11989,242,145,161
6044 C,11990,239,134,146
6045 C,11991,235,123,135
6046 C,11992,229,108,115
6047 C,11993,209,79,73
6048 C,11994,208,79,80
6049 C,11995,190,70,50
605 C,11996,226,204,4
6050 C,11997,250,168,209
6051 C,11998,250,133,175
6052 C,11999,232,113,151
6053 C,12000,246,96,139
6054 C,12001,220,86,130
6055 C,12002,209,68,104
6056 C,12003,201,59,91
6057 C,12004,210,95,165
6058 C,12005,201,77,148
6059 C,12006,194,67,137
606 C,12007,205,181,8
6060 C,12008,189,61,129
6061 C,12009,180,52,120
6062 C,12010,179,49,112
6063 C,12011,162,46,96
6064 C,12012,207,175,202
6065 C,12013,200,156,180
6066 C,12014,192,144,169
6067 C,12015,180,130,158
6068 C,12016,171,119,146
6069 C,12017,154,100,126
607 C,12018,234,229,156
6070 C,12019,154,100,126
6071 C,12020,147,120,155
6072 C,12021,116,83,119
6073 C,12022,101,69,104
6074 C,12023,97,64,96
6075 C,12024,86,56,85
6076 C,12025,72,43,68
6077 C,12026,58,41,54
